,Title,Type,Asset ID,Playback—ID,Aspect Ratio,Path: https://test.kevinhaus.com/assets/Stills/
1,Nothing - Purple Strings,music video,CVIR6Mysh6QzOFV9NZTqcW4Coe9vNTIp00v5wnX01L02oI,VaoVoaAfxBkAnMHcjMeh36WvzDeSBJONgXsz44SQYwc,4:3,"purplestrings01.jpg
purplestrings02.jpg
purplestrings03.jpg
purplestrings04.jpg
purplestrings05.jpg
purplestrings06.jpg
purplestrings07.jpg
purplestrings08.jpg
purplestrings09.jpg
purplestrings10.jpg
purplestrings11.jpg
purplestrings12.jpg
purplestrings13.jpg
purplestrings14.jpg"
2,Nothing - Eaten by Worms,music video,ZOQGvQnDAD6KoKZMNNaCkOb602W6yXo159wXaNHuJ8Dc,2MoGPMZ8huGsB00UQ1fWxwcO3ejLvmAVC4U7ADtQseuM,12:5,"eatenbyworms01.jpg
eatenbyworms02.jpg
eatenbyworms03.jpg
eatenbyworms04.jpg
eatenbyworms05.jpg
eatenbyworms06.jpg
eatenbyworms07.jpg
eatenbyworms08.jpg"
3,Nothing - Zero Day,music video,cqr019Ar1n3eL1zruGJWKXa8bg2ynIOSeLEA84uf1tY00,s2MbShTf7jh01ZlGXFsnklJTrfdatk006yK44dydIiAHE,12:5,"zeroday01.jpg
zeroday02.jpg
zeroday03.jpg
zeroday04.jpg
zeroday05.jpg
zeroday06.jpg
zeroday07.jpg
zeroday08.jpg"
4,Nothing - Something in the Way,music video,tZHdLPlkeOlGVeppbbpmjoFe6gAkijo5swGCFK01Svtc,B01cz63RVfQSzB01IBm00KV8T6akPDD00V4jZLeRmqh26JU,12:5,"somethingintheWay01.jpg
somethingintheWay02.jpg
somethingintheWay03.jpg"
5,The Warhawks - Slow You,music video,Eu5vHNZeLnk1MyM00eSV017U02Dwq4kj1r02mOa017CQjaU00,Z1ma5m1Ha9cq00H02vpPXaUzoNpSIdVUUdweAmtloWgr8,16:9,"slowyou01.jpg
slowyou02.jpg
slowyou03.jpg
slowyou04.jpg
slowyou05.jpg
slowyou06.jpg"
6,The Menzingers - Bad Catholics,music video,a9FQsdpx7cBR2uxSM5kg7n00Ujo4X46YN8iyaGUV48jo,301pAyCw01rQBr5izhLVaV02J55zOM010100BTec017ERpR3yc,12:5,"badCatholics01.jpg
badCatholics02.jpg
badCatholics03.jpg
badCatholics04.jpg
badCatholics05.jpg
badCatholics06.jpg"
7,USA BMX - Like a Champion,branded content,amtqikUuN7Zm02eUOqqNrDTeoWnY00kmvzWMhGmhJl5XI,f00jddCaaYkQVg1cOIGk3e1QQJFOTscl016fZtun202nuc,16:9,"usaBMX01.jpg
usaBMX02.jpg
usaBMX03.jpg"
8,New Miserable Experience - Philosophy on Pessimism,music video,pmEmMRaXE43qsLTH3700bk1f02Ie69kctLVGmr02M7dvPA,Ek02J2ASu61DSxOHsnbjVb5d4762vMrxzt9TJeagkQEA,16:9,"pessimism01.jpg
pessimism02.jpg
pessimism03.jpg
pessimism04.jpg"
9,Johnson & Johnson - Reverse the Course,commercial,024jXKgchc02pq4AwXorKPxGtO6oOtYYMNumCnNiCgvio,012Zgxg8QtVKGIhc5vCqoczju3gDpsv4pBf1DwqtmKxc,16:9,"reverse01.jpg
reverse02.jpg
reverse03.jpg
reverse04.jpg"
10,Death of Lovers - Orphans of the Smog,music video,pzs6sUVn18Jeoa6vDJM54VQvfVPr6SBSaWR5VLJI1t4,CRca7P2GnIqXaxx5V29gr017SzUZA0202HPjh1P01YsqKvw,12:5,orphans01.jpg
11,The Wreck,short film,3mNI00PfNBUe2GsHCOf2j1lGyMdQjT1OPivT7SKSs8mg,UsjrR2PeW4L3BH4bryOlUQf1PQJR3byhgjIWexHYbrg,12:5,"theWreck01.jpg
theWreck02.jpg
theWreck03.jpg
theWreck04.jpg
theWreck05.jpg
theWreck06.jpg"
12,Sunoco - Worlds Fastest Fillup,commercial,85qRrfI0265shvWkFxcGCVNm5fPWE7vu8eBlCb8gWAJE,eUXxTxuuqtDbOz3uTS01zAEgpqHUwjlU01suGhJWAMlpE,16:9,
13,King Woman - Deny,music video,BoPZzHluueGfE02LLrB01vUzpgOVeJ2VAylmCPFcHKUDU,Kq01uAASz02ViHflJfoiZ4spuQaKpHzlHgH00015aYJq2aM,12:5,"deny01.jpg
deny02.jpg
deny03.jpg
deny04.jpg
deny05.jpg
deny06.jpg
deny07.jpg
deny08.jpg"
,,,,,,
,Font:Albertus Medium,,,,,
,,,,,,
,,,,,,
, ,,,,,
